編號	學校類型	主要領域	小方向標籤 (隨機指派)	跨領域興趣/亮點
27	其他 (淡江)	軟體	圖學、動畫、遊戲與數位學習	程式設計競賽 (ICPC 經驗)
28	中字輩 (中正)	硬體	電子設計自動化 (EDA)	科普寫作部落客
29	頂大 (成大)	軟體	雲端計算、分散式系統	桌遊設計與開發
30	中字輩 (中央)	跨域	生醫訊號與影像、生物醫學資料分析	高中數學奧林匹亞培訓
31	其他 (台科)	韌體	即時作業系統、SoC 設計	咖啡沖煮師執照
32	頂大 (台大)	軟體	作業系統、分散式與即時系統	獨立電影製作
33	中字輩 (中興)	硬體	計算機結構、硬體加速技術	無人機空拍社團
34	頂大 (交大)	軟體	程式語言、編譯器與軟體工程	環境保護社團幹部
35	其他 (元智)	軟體	軟體工程、程式語言	資訊倫理研討會籌備
36	中字輩 (中山)	軟體	物聯網通訊、智慧環境	歷史學程輔修
37	頂大 (清大)	硬體	網路安全、網路攻擊偵測與硬體加速技術	圍棋業餘六段
38	中字輩 (中正)	軟體	電腦視覺、影像處理與人機互動	程式語言教學助教
39	頂大 (成大)	韌體	安全與硬體特洛伊、安全晶片軟硬體系統設計	校內籃球隊隊長
40	其他 (北科)	跨域	醫學影像分析、最佳化訊號、影像與幾何計算	國際交換學生 (德國)
41	中字輩 (中央)	軟體	虛擬與擴增實境、人機互動	金融科技黑客松獲獎
42	頂大 (台大)	軟體	機器學習、智慧型計算	數據分析工作坊講師
43	中字輩 (中興)	硬體	電子設計自動化 (EDA)	新創公司實習 (PM)
44	其他 (台科)	軟體	多媒體資訊系統、多媒體通訊	區塊鏈技術研究社
45	頂大 (交大)	軟體	雲端計算、智慧環境	校園刊物編輯
46	中字輩 (中山)	韌體	嵌入式系統、晶片系統與計算機結構	音樂製作 (編曲、混音)
47	頂大 (清大)	軟體	資訊安全、網路安全	素食主義推廣社
48	其他 (淡江)	軟體	圖學、動畫、遊戲與數位學習	咖啡社社長
49	中字輩 (中正)	硬體	計算機結構、硬體加速技術	辯論比賽冠軍
50	頂大 (成大)	軟體	巨量資料與資料探勘、高維度資料分析	模型建構與設計
51	中字輩 (中央)	跨域	生物資訊與計算生物	滑板運動愛好者
52	其他 (元智)	韌體	嵌入式系統、硬體特洛伊防護	程式語言教學志工
53	頂大 (台大)	軟體	軟體工程、程式語言	文化交流活動策劃
54	中字輩 (中興)	軟體	物聯網通訊、無線網路	國際象棋選手
55	頂大 (交大)	硬體	加解密硬體架構	創業競賽獲獎
56	其他 (北科)	軟體	自然語言處理、語意理解	AI倫理讀書會發起人
57	中字輩 (中山)	軟體	區塊鏈技術、資訊與網路安全	智慧城市提案競賽
58	頂大 (清大)	韌體	安全晶片軟硬體系統設計、即時作業系統	能源管理系統開發
59	其他 (台科)	軟體	作業系統、分散式與即時系統	鄉土文學讀書會
60	中字輩 (中正)	硬體	網路安全、網路攻擊偵測與硬體加速技術	藝術史課程選修
61	頂大 (成大)	軟體	電腦視覺、影像處理	劇本創作
62	其他 (淡江)	跨域	醫學影像分析、生醫訊號處理	書法社社長
63	中字輩 (中央)	軟體	人工智慧、機器學習、智慧型計算	街舞社社長
64	頂大 (台大)	軟體	雲端計算、分散式系統	攝影展覽舉辦
65	中字輩 (中興)	硬體	電子設計自動化 (EDA)	旅遊部落格經營
66	其他 (元智)	軟體	軟體定義網路、多媒體通訊	數位行銷社團
67	頂大 (交大)	軟體	量子密碼與計算、通訊技術、密碼學	寵物訓練師證照
68	中字輩 (中山)	韌體	嵌入式系統、SoC 設計	急救員執照
69	頂大 (清大)	軟體	系統安全、AI 自動攻防	天文攝影
70	其他 (北科)	軟體	程式語言、編譯器與軟體工程	魔術表演社
71	中字輩 (中正)	硬體	計算機結構、硬體加速技術	校內導覽員
72	頂大 (成大)	軟體	巨量資料、高維度資料分析	語言交換社團發起人
73	其他 (淡江)	跨域	生物醫學資料分析	社區服務志工 (弱勢兒童課輔)
74	中字輩 (中央)	軟體	人機互動、虛擬與擴增實境與穿戴式技術	永續發展專案參與
75	頂大 (台大)	軟體	演算法與計算理論	電子競技社團創辦人
76	中字輩 (中興)	硬體	加解密硬體架構	手工藝品製作與販售
77	其他 (台科)	軟體	物聯網通訊、智慧環境	模擬聯合國代表
78	頂大 (交大)	韌體	安全與硬體特洛伊、安全晶片軟硬體系統設計	口琴演奏家
79	中字輩 (中山)	軟體	無線網路、軟體定義網路	美食評論
80	頂大 (清大)	硬體	網路安全、網路攻擊偵測與硬體加速技術	城市導覽開發 (App)
81	其他 (元智)	軟體	電腦視覺、影像處理	金融交易模擬競賽
82	中字輩 (中正)	軟體	資訊安全、加密技術	科技寫作 (英文)
83	頂大 (成大)	韌體	嵌入式系統、安全晶片設計	VR遊戲開發社團
84	中字輩 (中央)	跨域	最佳化訊號、影像與幾何計算	智慧農業專案
85	頂大 (台大)	軟體	人工智慧安全、區塊鏈	國際學術研討會口譯
86	其他 (北科)	軟體	自然語言處理、語意理解	哲學社社長
87	中字輩 (中興)	硬體	計算機結構、硬體加速技術	校內報社記者
88	頂大 (交大)	軟體	機器學習、智慧型計算	獨立遊戲設計
89	其他 (台科)	韌體	即時作業系統、SoC 設計	社區大學講師 (基礎程式)
90	中字輩 (中山)	軟體	雲端計算、巨量資料與資料探勘	防災科技應用研究
91	頂大 (清大)	軟體	作業系統、分散式與即時系統	高中科學展覽首獎
92	其他 (淡江)	軟體	圖學、遊戲與數位學習	程式語言社團指導
93	中字輩 (中正)	硬體	電子設計自動化 (EDA)	校內排球隊主攻手
94	頂大 (成大)	軟體	影像處理、電腦視覺	數位內容創作平台
95	中字輩 (中央)	跨域	生物資訊與計算生物	TEDx策展團隊
96	頂大 (台大)	軟體	軟體工程、程式語言	科技趨勢分析社
97	其他 (元智)	軟體	智慧環境、物聯網通訊	跨文化溝通工作坊
98	中字輩 (中興)	韌體	嵌入式系統、硬體特洛伊防護	區塊鏈應用開發
99	頂大 (交大)	軟體	資訊與網路安全、人工智慧安全	虛擬實境應用研究
100	其他 (北科)	軟體	自然語言處理、語意理解	網路文學創作
